country_code,country,year,gdp_health_expenditure,political_corruption_index,cause_id,cause_name,metric,value,upper_value,lower_value
ARG,Argentina,2010,5.572,0.545,491,Cardiovascular diseases,Percent,0.3002538469030966,0.312661270460553,0.2767671815609723
ARG,Argentina,2010,5.572,0.545,491,Cardiovascular diseases,Rate,228.25411093626192,237.8340257123816,210.6861569689894
ARG,Argentina,2010,5.572,0.545,626,Musculoskeletal disorders,Percent,0.0020637618672606,0.0021951569763142,0.0019176474886911
ARG,Argentina,2010,5.572,0.545,626,Musculoskeletal disorders,Rate,1.5688818259736648,1.667934954042849,1.4564414287096443
ARG,Argentina,2010,5.572,0.545,640,Other non-communicable diseases,Percent,0.0283004324679345,0.0293857925718153,0.0267854348878832
ARG,Argentina,2010,5.572,0.545,640,Other non-communicable diseases,Rate,21.51413497980291,22.353363242250907,20.364723198036423
ARG,Argentina,2010,5.572,0.545,508,Chronic respiratory diseases,Percent,0.0594689933397807,0.0627956618805471,0.0549606613109279
ARG,Argentina,2010,5.572,0.545,508,Chronic respiratory diseases,Rate,45.20835717922051,47.75885894704339,41.71558511165348
ARG,Argentina,2010,5.572,0.545,955,HIV/AIDS and sexually transmitted infections,Percent,0.0056036273430133,0.0056353357005297,0.005571781171336
ARG,Argentina,2010,5.572,0.545,955,HIV/AIDS and sexually transmitted infections,Rate,4.259882945394403,4.278318896656224,4.243406455797522
ARG,Argentina,2010,5.572,0.545,956,Respiratory infections and tuberculosis,Percent,0.0897346203761737,0.0943081580379035,0.0822959321980012
ARG,Argentina,2010,5.572,0.545,956,Respiratory infections and tuberculosis,Rate,68.21657607079858,71.63555442073712,62.64518784521925
ARG,Argentina,2010,5.572,0.545,957,Enteric infections,Percent,0.0020607552466463,0.0022051028800124,0.0018859210375418
ARG,Argentina,2010,5.572,0.545,957,Enteric infections,Rate,1.5665919240945705,1.6757110299509093,1.4334136160428717
ARG,Argentina,2010,5.572,0.545,961,Other infectious diseases,Percent,0.0034210443055147,0.0035299687269887,0.0033180138712887
ARG,Argentina,2010,5.572,0.545,961,Other infectious diseases,Rate,2.600695101315049,2.6831687027271256,2.515749102642296
ARG,Argentina,2010,5.572,0.545,962,Maternal and neonatal disorders,Percent,0.0159432820532874,0.0165356375144281,0.0153638876621384
ARG,Argentina,2010,5.572,0.545,962,Maternal and neonatal disorders,Rate,12.120262786591354,12.56860395143473,11.684191989989122
ARG,Argentina,2010,5.572,0.545,973,Substance use disorders,Percent,0.0025375686247071,0.0026351117410908,0.0024422903994941
ARG,Argentina,2010,5.572,0.545,973,Substance use disorders,Rate,1.9290732204136296,2.004071884841012,1.8551015467659275
ARG,Argentina,2010,5.572,0.545,974,Diabetes and kidney diseases,Percent,0.0824432178480972,0.0856558741637788,0.0768623620616206
ARG,Argentina,2010,5.572,0.545,974,Diabetes and kidney diseases,Rate,62.67346053270632,65.08989322221144,58.51406948026211
ARG,Argentina,2010,5.572,0.545,653,Skin and subcutaneous diseases,Percent,0.0057700862628955,0.0061271242082871,0.0052631470369859
ARG,Argentina,2010,5.572,0.545,653,Skin and subcutaneous diseases,Rate,4.386432873665755,4.654381697062341,3.998234898681566
ARG,Argentina,2010,5.572,0.545,688,Transport injuries,Percent,0.0214196885959478,0.0219855596861267,0.0208565972893329
ARG,Argentina,2010,5.572,0.545,688,Transport injuries,Rate,16.283341673435494,16.698141285370752,15.856476284333471
ARG,Argentina,2010,5.572,0.545,696,Unintentional injuries,Percent,0.0239335977805612,0.0245420995367459,0.0230971320267337
ARG,Argentina,2010,5.572,0.545,696,Unintentional injuries,Rate,18.194413171819,18.67690308553597,17.55549919924564
ARG,Argentina,2010,5.572,0.545,386,Nutritional deficiencies,Percent,0.0045460700171698,0.0048252991014914,0.0041490727363674
ARG,Argentina,2010,5.572,0.545,386,Nutritional deficiencies,Rate,3.4559437354716915,3.66729396172557,3.161536588472665
ARG,Argentina,2010,5.572,0.545,410,Neoplasms,Percent,0.238864302745674,0.24703496941352,0.2276278676068102
ARG,Argentina,2010,5.572,0.545,410,Neoplasms,Rate,181.5852639192838,187.8011248393861,173.29270095930187
ARG,Argentina,2010,5.572,0.545,558,Mental disorders,Percent,1.9699332364750365e-07,2.486424163743737e-07,1.4894200868580466e-07
ARG,Argentina,2010,5.572,0.545,558,Mental disorders,Rate,0.0001497585588217,0.0001893103733872,0.000113461801952
ARG,Argentina,2010,5.572,0.545,344,Neglected tropical diseases and malaria,Percent,0.0016453196245425,0.0022312007083841,0.0011778976850862
ARG,Argentina,2010,5.572,0.545,344,Neglected tropical diseases and malaria,Rate,1.2507923739007183,1.696585684675571,0.8951457789003366
ARG,Argentina,2010,5.572,0.545,526,Digestive diseases,Percent,0.0443418012692344,0.0462465050538277,0.0418606693301986
ARG,Argentina,2010,5.572,0.545,526,Digestive diseases,Rate,33.70880307730181,35.15913292697541,31.823896171478346
ARG,Argentina,2010,5.572,0.545,542,Neurological disorders,Percent,0.0455718147792907,0.1007684671860668,0.0209566966374025
ARG,Argentina,2010,5.572,0.545,542,Neurological disorders,Rate,34.644904601535245,76.59756530662973,15.9488154207339
ARG,Argentina,2010,5.572,0.545,717,Self-harm and interpersonal violence,Percent,0.0220759715558475,0.022669313571306,0.0215352678303828
ARG,Argentina,2010,5.572,0.545,717,Self-harm and interpersonal violence,Rate,16.78226332758892,17.23765767008124,16.356241010492916
ARG,Argentina,2011,5.688,0.545,626,Musculoskeletal disorders,Percent,0.002038984172918,0.0021697100586831,0.0019031775123695
ARG,Argentina,2011,5.688,0.545,626,Musculoskeletal disorders,Rate,1.553811208745344,1.6516442174846655,1.4510885033376866
ARG,Argentina,2011,5.688,0.545,640,Other non-communicable diseases,Percent,0.0284460111877185,0.0295120138928216,0.0269498013436114
ARG,Argentina,2011,5.688,0.545,640,Other non-communicable diseases,Rate,21.67742020718149,22.485536090041165,20.52771796386352
ARG,Argentina,2011,5.688,0.545,955,HIV/AIDS and sexually transmitted infections,Percent,0.0054497371553663,0.005483371752813,0.005417801547548
ARG,Argentina,2011,5.688,0.545,955,HIV/AIDS and sexually transmitted infections,Rate,4.152977380404338,4.17089949587039,4.136700529080486
ARG,Argentina,2011,5.688,0.545,956,Respiratory infections and tuberculosis,Percent,0.0918571984024066,0.0965249916046506,0.0843690482120188
ARG,Argentina,2011,5.688,0.545,956,Respiratory infections and tuberculosis,Rate,70.00008102877788,73.65611171705025,64.29307884888195
ARG,Argentina,2011,5.688,0.545,957,Enteric infections,Percent,0.0021095130056297,0.0022602508909965,0.0019364151391213
ARG,Argentina,2011,5.688,0.545,957,Enteric infections,Rate,1.607555800567366,1.7233054082023636,1.4778144052797535
ARG,Argentina,2011,5.688,0.545,961,Other infectious diseases,Percent,0.0033468381943288,0.0034441795418767,0.0032366393391397
ARG,Argentina,2011,5.688,0.545,961,Other infectious diseases,Rate,2.550469846387815,2.6247122996384893,2.4667302364120083
ARG,Argentina,2011,5.688,0.545,962,Maternal and neonatal disorders,Percent,0.0152885668315682,0.015882721612199,0.0147671150908311
ARG,Argentina,2011,5.688,0.545,962,Maternal and neonatal disorders,Rate,11.650839014572504,12.132115631458593,11.225984377962396
ARG,Argentina,2011,5.688,0.545,973,Substance use disorders,Percent,0.0024159166635755,0.0025071183814704,0.0023208315302552
ARG,Argentina,2011,5.688,0.545,973,Substance use disorders,Rate,1.8410630367387248,1.9099525761505096,1.7699423310213238
ARG,Argentina,2011,5.688,0.545,974,Diabetes and kidney diseases,Percent,0.0820422262180376,0.0851689082983732,0.0767479669997866
ARG,Argentina,2011,5.688,0.545,974,Diabetes and kidney diseases,Rate,62.5204698758649,64.88782123733483,58.3451130649524
ARG,Argentina,2011,5.688,0.545,491,Cardiovascular diseases,Percent,0.2984231988784894,0.3110035194017138,0.2748370572133136
ARG,Argentina,2011,5.688,0.545,491,Cardiovascular diseases,Rate,227.4145443068778,237.0552937941825,209.5289152166293
ARG,Argentina,2011,5.688,0.545,508,Chronic respiratory diseases,Percent,0.0601980811464833,0.0635637025301725,0.0556967196949717
ARG,Argentina,2011,5.688,0.545,508,Chronic respiratory diseases,Rate,45.87404305789317,48.41687321749061,42.44453976435141
ARG,Argentina,2011,5.688,0.545,653,Skin and subcutaneous diseases,Percent,0.0059913301146848,0.0063479915491036,0.0054967959489896
ARG,Argentina,2011,5.688,0.545,653,Skin and subcutaneous diseases,Rate,4.565704341311471,4.844836225958046,4.177530699447345
ARG,Argentina,2011,5.688,0.545,688,Transport injuries,Percent,0.0221208457423132,0.0227081688191657,0.0215383004278511
ARG,Argentina,2011,5.688,0.545,688,Transport injuries,Rate,16.85724943515017,17.321220531886837,16.413770877608577
ARG,Argentina,2011,5.688,0.545,696,Unintentional injuries,Percent,0.0238353611659089,0.0244674591719322,0.0229626338802288
ARG,Argentina,2011,5.688,0.545,696,Unintentional injuries,Rate,18.16382902421545,18.65187422739656,17.513068730743857
ARG,Argentina,2011,5.688,0.545,386,Nutritional deficiencies,Percent,0.0043095187145321,0.0045781865580265,0.0039274607153687
ARG,Argentina,2011,5.688,0.545,386,Nutritional deficiencies,Rate,3.284080270080516,3.489983582441885,2.9942728165905144
ARG,Argentina,2011,5.688,0.545,410,Neoplasms,Percent,0.2373078969592431,0.2453137750877493,0.2260512104060381
ARG,Argentina,2011,5.688,0.545,410,Neoplasms,Rate,180.8410379266116,187.0255362907073,172.40452352372628
ARG,Argentina,2011,5.688,0.545,558,Mental disorders,Percent,2.382542645671079e-07,3.062278477195469e-07,1.7614240668389078e-07
ARG,Argentina,2011,5.688,0.545,558,Mental disorders,Rate,0.0001815580759361,0.0002335115740125,0.000134393768803
ARG,Argentina,2011,5.688,0.545,344,Neglected tropical diseases and malaria,Percent,0.0015849459034977,0.0021221292065456,0.0011168792178586
ARG,Argentina,2011,5.688,0.545,344,Neglected tropical diseases and malaria,Rate,1.2078201882979718,1.615721779410182,0.848796762789247
ARG,Argentina,2011,5.688,0.545,526,Digestive diseases,Percent,0.0449748719688781,0.0470404836853962,0.0423577220410178
ARG,Argentina,2011,5.688,0.545,526,Digestive diseases,Rate,34.27323492024989,35.766144443237664,32.2887864217017
ARG,Argentina,2011,5.688,0.545,542,Neurological disorders,Percent,0.046002762933826,0.1014695249988267,0.0211518766967843
